mc_name,col_id,syn_name,rank,name_status,genus,subgenus,species,infraspecies_marker,infraspecies,author,record_scrutiny_date,online_resource,is_extinct,name_html,url
Peronospora effusa,6d972e1ffc1ae27b16ee7f107d06872e,Peronospora borealis,species,synonym,Peronospora,,borealis,,,"Gäum., 1918",,,0,"<i>Peronospora borealis</i> Gäum., 1918",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/6d972e1ffc1ae27b16ee7f107d06872e
Peronospora effusa,315668947eecf947ef2699653fed459c,Peronospora chenopodii,species,synonym,Peronospora,,chenopodii,,,"Schltdl., 1852",,,0,"<i>Peronospora chenopodii</i> Schltdl., 1852",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/315668947eecf947ef2699653fed459c
Peronospora effusa,f85c85ee71fcb2c99696b58a6d63907e,Peronospora chenopodii-ficifolii,species,synonym,Peronospora,,chenopodii-ficifolii,,,"Sawada, 1916",,,0,"<i>Peronospora chenopodii-ficifolii</i> Sawada, 1916",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/f85c85ee71fcb2c99696b58a6d63907e
Peronospora effusa,91286ab0c2eda0a0c847cdc9a384829c,Peronospora chenopodii-glauci,species,synonym,Peronospora,,chenopodii-glauci,,,"Gäum., 1919",,,0,"<i>Peronospora chenopodii-glauci</i> Gäum., 1919",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/91286ab0c2eda0a0c847cdc9a384829c
Peronospora effusa,7a09122163dce16f58cd3086c6d12861,Peronospora chenopodii-opulifolii,species,synonym,Peronospora,,chenopodii-opulifolii,,,"Săvul. & Rayss, 1932",,,0,"<i>Peronospora chenopodii-opulifolii</i> Săvul. & Rayss, 1932",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/7a09122163dce16f58cd3086c6d12861
Peronospora effusa,1e965908604df4cc4af1b5759c7ff687,Peronospora chenopodii-polyspermi,species,synonym,Peronospora,,chenopodii-polyspermi,,,"Gäum., 1919",,,0,"<i>Peronospora chenopodii-polyspermi</i> Gäum., 1919",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/1e965908604df4cc4af1b5759c7ff687
Peronospora effusa,8e762fd07be6dc7093d8707589f8e5b2,Peronospora chenopodii-rubri,species,synonym,Peronospora,,chenopodii-rubri,,,"Gäum., 1919",,,0,"<i>Peronospora chenopodii-rubri</i> Gäum., 1919",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/8e762fd07be6dc7093d8707589f8e5b2
Peronospora effusa,6d69334d1874484b0a0740ff6882cffe,Peronospora chenopodii-urbici,species,synonym,Peronospora,,chenopodii-urbici,,,"Săvul. & Rayss, 1932",,,0,"<i>Peronospora chenopodii-urbici</i> Săvul. & Rayss, 1932",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/6d69334d1874484b0a0740ff6882cffe
Peronospora effusa,ac8d1c9997b20f125ce1d2ff5e2832f9,Peronospora chenopodii-vulvariae,species,synonym,Peronospora,,chenopodii-vulvariae,,,"Săvul. & Rayss, 1935",,,0,"<i>Peronospora chenopodii-vulvariae</i> Săvul. & Rayss, 1935",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/ac8d1c9997b20f125ce1d2ff5e2832f9
Peronospora effusa,393259b7438b233604eaecb23053dd75,Peronospora devastatrix,species,synonym,Peronospora,,devastatrix,,,"(Lib. ex Duchartre) Casp., 1855",,,0,"<i>Peronospora devastatrix</i> (Lib. ex Duchartre) Casp., 1855",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/393259b7438b233604eaecb23053dd75
Peronospora effusa,4af85c95f2b4fbff9988205289392481,Peronospora devastrix,species,synonym,Peronospora,,devastrix,,,"(Lib. ex Duchartre) Casp., 1855",,,0,"<i>Peronospora devastrix</i> (Lib. ex Duchartre) Casp., 1855",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/4af85c95f2b4fbff9988205289392481
Peronospora effusa,351dcbcf3553105483eaa8b57e275d0c,Peronospora effusa,species,synonym,Peronospora,,effusa,,,"(Grev.) Rabenh., 1854",,,0,"<i>Peronospora effusa</i> (Grev.) Rabenh., 1854",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/351dcbcf3553105483eaa8b57e275d0c
Peronospora effusa,b8a784b4a91c4563cd45e4a7a9ff28b1,Peronospora effusa aviculariae,infraspecies,synonym,Peronospora,,effusa,var.,aviculariae,"Thüm., 1874",,,0,"<i>Peronospora effusa aviculariae</i> Thüm., 1874",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/b8a784b4a91c4563cd45e4a7a9ff28b1
Peronospora effusa,8d7d2245bb743a946cc5ca64f596abb5,Peronospora effusa chenopodii-muralis,infraspecies,synonym,Peronospora,,effusa,f.,chenopodii-muralis,"Sacc., 1876",,,0,"<i>Peronospora effusa chenopodii-muralis</i> Sacc., 1876",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/8d7d2245bb743a946cc5ca64f596abb5
Peronospora effusa,05191b9964da32ce80893c6337297862,Peronospora effusa effusa,infraspecies,synonym,Peronospora,,effusa,var.,effusa,"(Grev.) Rabenh., 1854",,,0,"<i>Peronospora effusa effusa</i> (Grev.) Rabenh., 1854",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/05191b9964da32ce80893c6337297862
Peronospora effusa,6969f693b959340215b5b49cdbcbbac9,Peronospora effusa effusa,infraspecies,synonym,Peronospora,,effusa,f.,effusa,"(Grev.) Rabenh., 1854",,,0,"<i>Peronospora effusa effusa</i> (Grev.) Rabenh., 1854",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/6969f693b959340215b5b49cdbcbbac9
Peronospora effusa,f72b201fe2860a728b49e9d3d88fc943,Peronospora effusa fuckelii,infraspecies,synonym,Peronospora,,effusa,var.,fuckelii,"Sacc., 1888",,,0,"<i>Peronospora effusa fuckelii</i> Sacc., 1888",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/f72b201fe2860a728b49e9d3d88fc943
Peronospora effusa,0c34edc7f2485d7ab5a2b9e814a2dc82,Peronospora effusa intermedia,infraspecies,synonym,Peronospora,,effusa,var.,intermedia,"Casp., 1856",,,0,"<i>Peronospora effusa intermedia</i> Casp., 1856",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/0c34edc7f2485d7ab5a2b9e814a2dc82
Peronospora effusa,faafef080e6089446eaee27bce971308,Peronospora effusa major,infraspecies,synonym,Peronospora,,effusa,var.,major,"Casp., 1855",,,0,"<i>Peronospora effusa major</i> Casp., 1855",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/faafef080e6089446eaee27bce971308
Peronospora effusa,8bc4aef775694a43ac486ef7aa6b3a29,Peronospora effusa manshuriae,infraspecies,synonym,Peronospora,,effusa,var.,manshuriae,"Naumov, 1914",,,0,"<i>Peronospora effusa manshuriae</i> Naumov, 1914",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/8bc4aef775694a43ac486ef7aa6b3a29
